"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.093130583E0,1.641825065E-1,1.306064201E0,-2.082520938E-1
3.103128583E0,1.469480576E-1,1.375882587E0,-4.343615842E-1
3.113126583E0,1.492851166E-1,1.375824992E0,-6.152218115E-1
3.123125583E0,1.081874498E-1,1.355101583E0,-7.113067675E-1
3.133123583E0,7.733863637E-2,1.307778605E0,-7.186444384E-1
3.143121583E0,4.304785945E-2,1.227917626E0,-6.377944028E-1
3.153119583E0,-3.681085378E-2,1.137167085E0,-4.493824965E-1
3.163118583E0,-1.513735959E-1,1.109208038E0,-1.401057190E-1
3.173116583E0,-3.176043089E-1,1.077482216E0,1.537525356E-1
3.183114583E0,-3.770406713E-1,9.888290709E-1,4.322437227E-1
3.193112583E0,-4.249621850E-1,8.035173583E-1,6.505103427E-1
3.203111583E0,-5.367113931E-1,6.302526641E-1,9.248400664E-1
3.213109583E0,-6.430960002E-1,5.952953777E-1,1.365807250E0
3.223107583E0,-6.634470150E-1,5.957368425E-1,1.842540098E0
3.233105583E0,-5.982036000E-1,5.109554315E-1,2.217002805E0
3.243104583E0,-5.502157570E-1,2.930472457E-1,2.466091268E0
3.253102583E0,-4.744128552E-1,3.471901238E-2,2.609997092E0
3.263100583E0,-4.393190729E-1,-1.972944117E-1,2.634412141E0
3.273098583E0,-3.935096831E-1,-3.955819729E-1,2.504884036E0
3.283097583E0,-3.521192900E-1,-6.206825262E-1,2.125713151E0
3.293095583E0,-3.222212339E-1,-8.122835040E-1,1.730595154E0
3.303093583E0,-2.472006165E-1,-9.483976212E-1,1.528496670E0
3.313091708E0,-1.258977158E-1,-9.965143588E-1,1.539490020E0
3.323090708E0,3.101074476E-2,-1.011539949E0,1.737029430E0
3.333088708E0,1.298742976E-1,-1.040616398E0,1.863574287E0
3.343086708E0,5.432454374E-2,-1.057116656E0,1.688298735E0
3.353084708E0,-1.777622629E-1,-1.033839768E0,1.186885375E0
3.363083708E0,-3.859171467E-1,-9.377843401E-1,5.582611603E-1
3.373081708E0,-4.522667818E-1,-8.112926933E-1,-8.196626902E-3
3.383079708E0,-4.106215597E-1,-6.519478807E-1,-4.672626972E-1
3.393077709E0,-1.953061025E-1,-4.879519004E-1,-7.027996534E-1
3.403076708E0,2.258585352E-1,-3.799880335E-1,-5.083341247E-1
3.413074709E0,6.582466476E-1,-3.394986963E-1,-4.151523113E-3
3.423072709E0,8.873848495E-1,-3.647206610E-1,6.104680252E-1
3.433070709E0,9.470666488E-1,-5.431621876E-1,1.130505352E0
3.443069709E0,9.176479912E-1,-8.351619047E-1,1.482044050E0
3.453067709E0,8.374075279E-1,-1.153229386E0,1.552378453E0
3.463065709E0,6.897290799E-1,-1.412739927E0,1.286346513E0
3.473063709E0,5.000681352E-1,-1.567847554E0,8.016684687E-1
3.483062709E0,3.039953896E-1,-1.524982786E0,1.129810703E-1
3.493060709E0,2.345622984E-1,-1.373161293E0,-6.218046069E-1
3.503058709E0,2.770429049E-1,-1.191444449E0,-1.374043638E0
3.513056708E0,3.362711064E-1,-9.549655062E-1,-1.911292829E0
3.523055709E0,3.774781162E-1,-6.513593584E-1,-2.189658301E0
3.533053708E0,3.542985839E-1,-3.463302907E-1,-2.215608829E0
3.543051708E0,3.187114427E-1,-1.274921054E-1,-2.013809137E0
3.553049708E0,3.812804509E-1,-7.080276489E-2,-1.632561906E0
3.563048708E0,5.152292710E-1,-1.534268457E-1,-1.182787061E0
3.573046708E0,6.010537156E-1,-2.474427643E-1,-6.803521925E-1
3.583044708E0,7.071005729E-1,-2.848672834E-1,-2.654238296E-1
3.593042708E0,8.077766895E-1,-3.118323031E-1,-3.977860808E-2
3.603041708E0,8.610526447E-1,-2.864083171E-1,-3.132821202E-2
3.613039708E0,8.584992387E-1,-2.160759607E-1,-1.803579515E-1
3.623037708E0,7.495756245E-1,-3.274879307E-2,-4.753119743E-1
3.633035708E0,5.839821848E-1,2.094504806E-1,-7.550872099E-1
3.643034708E0,4.591378083E-1,3.740469700E-1,-9.996493435E-1
3.653032708E0,3.986928743E-1,4.508209115E-1,-1.181824025E0
3.663030708E0,3.037700891E-1,5.276460162E-1,-1.204088468E0
3.673028708E0,9.603430443E-2,5.275033441E-1,-1.058610327E0
3.683027708E0,-1.157980030E-1,4.961929661E-1,-8.225377661E-1
3.693025708E0,-2.310920125E-1,3.911395508E-1,-5.343115497E-1
