"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.379879842E2,6.045874380E1,2.480920138E1,7.220335983E1,1.550747487E0,1.576510760E2,2.832539644E0,4.240935919E0
1.389878988E2,6.045873230E1,2.480921696E1,7.208350994E1,1.556664339E0,1.543066530E2,2.808088345E0,4.157989022E0
1.399877744E2,6.045872271E1,2.480923582E1,7.247530529E1,1.561279828E0,1.485728276E2,2.797269852E0,4.036117469E0
1.409876814E2,6.045871208E1,2.480924630E1,7.203892134E1,1.545610625E0,1.523106694E2,2.808271537E0,4.060636052E0
1.419875976E2,6.045869973E1,2.480925612E1,7.204569325E1,1.553018598E0,1.565656613E2,2.767857935E0,4.063989681E0
1.429874737E2,6.045869031E1,2.480927751E1,7.188904124E1,1.581281863E0,1.476853377E2,2.751409524E0,4.022736824E0
1.439873929E2,6.045867940E1,2.480929272E1,7.173047874E1,1.574935050E0,1.464851953E2,2.717473646E0,3.925101255E0
1.449873134E2,6.045867032E1,2.480930343E1,7.093750167E1,1.528581145E0,1.475263541E2,2.703020434E0,3.883457473E0
1.459871924E2,6.045865970E1,2.480931878E1,7.119969053E1,1.554282465E0,1.479214738E2,2.667869417E0,3.767384260E0
1.469871250E2,6.045864846E1,2.480932940E1,7.056949326E1,1.523772262E0,1.505808247E2,2.645620471E0,3.668408602E0
1.479870639E2,6.045863856E1,2.480934325E1,7.030417060E1,1.499712146E0,1.492828182E2,2.613339437E0,3.585967032E0
1.489869635E2,6.045862655E1,2.480936090E1,7.030761137E1,1.543558840E0,1.469404180E2,2.635728372E0,3.630897670E0
1.499868681E2,6.045861683E1,2.480937992E1,7.038322286E1,1.568455829E0,1.421193003E2,2.615754163E0,3.594100689E0
1.509867784E2,6.045860581E1,2.480939370E1,7.059583205E1,1.573254061E0,1.435537436E2,2.591365953E0,3.568166391E0
1.519866920E2,6.045859401E1,2.480941076E1,7.041880488E1,1.564275977E0,1.458581211E2,2.561797648E0,3.554618246E0
1.529866099E2,6.045858338E1,2.480942438E1,6.911892541E1,1.423867857E0,1.496713778E2,2.535412295E0,3.461097808E0
1.539865310E2,6.045857403E1,2.480943730E1,6.791734888E1,1.318462428E0,1.488735985E2,2.546528499E0,3.336489786E0
1.549864569E2,6.045856143E1,2.480945823E1,6.807473109E1,1.484848918E0,1.462386350E2,2.566852471E0,3.304514992E0
1.559863862E2,6.045855203E1,2.480946832E1,6.685860066E1,1.357223028E0,1.506374179E2,2.676413316E0,3.505060897E0
1.569863193E2,6.045854572E1,2.480948605E1,6.664840843E1,1.446168727E0,1.453989001E2,2.712658993E0,3.377394688E0
1.579862534E2,6.045853488E1,2.480950279E1,6.660194134E1,1.505749811E0,1.471394818E2,2.810386507E0,3.655941535E0
1.589861908E2,6.045852318E1,2.480951601E1,6.647730082E1,1.531141687E0,1.516312385E2,2.808778020E0,3.712982612E0
1.599861324E2,6.045851421E1,2.480953951E1,6.710806089E1,1.564626126E0,1.471291442E2,2.789375465E0,3.615537527E0
1.609860750E2,6.045850674E1,2.480956457E1,6.761895787E1,1.560705766E0,1.396669568E2,2.782422700E0,3.645690997E0
1.619860208E2,6.045849664E1,2.480958917E1,6.783545588E1,1.570865131E0,1.364792100E2,2.784207231E0,3.594962916E0
1.629859681E2,6.045848841E1,2.480960806E1,6.782685333E1,1.488220203E0,1.369092754E2,2.778148601E0,3.603819380E0
1.639859179E2,6.045848026E1,2.480963371E1,6.795249016E1,1.561579910E0,1.314241949E2,2.761807884E0,3.512608814E0
1.649858693E2,6.045847110E1,2.480966172E1,6.839587983E1,1.580209133E0,1.286235215E2,2.734155152E0,3.508593796E0
1.659858226E2,6.045846128E1,2.480968572E1,6.866421334E1,1.575495287E0,1.302118427E2,2.727914499E0,3.515134142E0
1.669857774E2,6.045845055E1,2.480970486E1,6.853673689E1,1.553893222E0,1.361532566E2,2.743179301E0,3.661941523E0
1.679857336E2,6.045844400E1,2.480972624E1,6.908003058E1,1.567803707E0,1.284335391E2,2.716531143E0,3.679768683E0
1.689856913E2,6.045843436E1,2.480974310E1,6.862245123E1,1.563146708E0,1.300127297E2,2.720884271E0,3.605189716E0
1.699856505E2,6.045842446E1,2.480976299E1,6.868065070E1,1.578636627E0,1.316413942E2,2.684840052E0,3.484936233E0
1.709856114E2,6.045841463E1,2.480978089E1,6.818644647E1,1.552023503E0,1.353513438E2,2.650598055E0,3.364910738E0
1.719855727E2,6.045840655E1,2.480980624E1,6.874223475E1,1.601139607E0,1.309858325E2,2.658131050E0,3.288632559E0
1.729855360E2,6.045839576E1,2.480982053E1,6.831502653E1,1.582076327E0,1.353913414E2,2.641039780E0,3.249667739E0
1.739855005E2,6.045838614E1,2.480983862E1,6.823031226E1,1.575789563E0,1.381258811E2,2.608987779E0,3.142713022E0
1.749854656E2,6.045837620E1,2.480985732E1,6.832013755E1,1.597104226E0,1.376235856E2,2.578538387E0,3.104260597E0
1.759854312E2,6.045836761E1,2.480987815E1,6.809185853E1,1.591888680E0,1.343165810E2,2.549611463E0,3.124886655E0
1.769853975E2,6.045835864E1,2.480989700E1,6.784439131E1,1.572868536E0,1.341556671E2,2.522130882E0,3.100306066E0
1.779853653E2,6.045835010E1,2.480991594E1,6.796446608E1,1.574388364E0,1.338083103E2,2.496024337E0,3.034171879E0
1.789853344E2,6.045834112E1,2.480993450E1,6.782825456E1,1.560751586E0,1.346094256E2,2.471223117E0,3.000000000E0
1.799853034E2,6.045833324E1,2.480995367E1,6.793617146E1,1.570431409E0,1.337288803E2,2.447661959E0,3.000000000E0
1.809852731E2,6.045832411E1,2.480997294E1,6.777159562E1,1.506020950E0,1.340443535E2,2.425278858E0,3.006174061E0
1.819852434E2,6.045831548E1,2.480999384E1,6.809870991E1,1.576614651E0,1.322514433E2,2.404014898E0,3.000000000E0
1.829852146E2,6.045830575E1,2.481000999E1,6.772865464E1,1.564633656E0,1.360422991E2,2.385795670E0,3.000000000E0
1.839851862E2,6.045829759E1,2.481003453E1,6.805706071E1,1.579403885E0,1.311717452E2,2.366505884E0,3.000000000E0
1.849851584E2,6.045828708E1,2.481005507E1,6.779767536E1,1.594684332E0,1.335192325E2,2.348180576E0,3.000000000E0
